Date,Load_Power(kW)
3/21/2023,6.595833333
3/22/2023,6.466666667
3/23/2023,6.179166667
3/24/2023,6.066666667
3/25/2023,6.208333333
3/26/2023,6.1
3/27/2023,6.2125
3/28/2023,6.25
3/29/2023,6.116666667
3/30/2023,6.1125
3/31/2023,6.008333333
4/1/2023,6.675
4/2/2023,6.579166667
4/3/2023,6.504166667
4/4/2023,6.770833333
4/5/2023,6.8375
4/6/2023,6.866666667
4/7/2023,6.841666667
4/8/2023,6.666666667
4/9/2023,6.541666667
4/10/2023,6.566666667
4/11/2023,7.041666667
4/12/2023,6.9875
4/13/2023,7.179166667
4/14/2023,6.841666667
4/15/2023,6.970833333
4/16/2023,6.766666667
4/17/2023,6.691666667
4/18/2023,6.925
4/19/2023,6.745833333
4/20/2023,6.7125
4/21/2023,6.595833333
4/22/2023,6.466666667
4/23/2023,6.179166667
4/24/2023,6.066666667
4/25/2023,6.208333333
4/26/2023,6.1
4/27/2023,6.2125
4/28/2023,6.25
4/29/2023,6.116666667
4/30/2023,6.1125
5/1/2023,6.133333333
5/2/2023,6.4125
5/3/2023,6.7375
5/4/2023,6.8375
5/5/2023,7.0875
5/6/2023,6.845833333
5/7/2023,7.191666667
5/8/2023,7.858333333
5/9/2023,7.808333333
5/10/2023,7.916666667
5/11/2023,8.004166667
5/12/2023,7.979166667
5/13/2023,7.691666667
5/14/2023,7.416666667
5/15/2023,7.9625
5/16/2023,7.991666667
5/17/2023,8.166666667
5/18/2023,8.266666667
5/19/2023,8.133333333
5/20/2023,7.783333333
5/21/2023,7.720833333
5/22/2023,8.208333333
5/23/2023,8.316666667
5/24/2023,8.033333333
5/25/2023,8.233333333
5/26/2023,8.2375
5/27/2023,8.354166667
5/28/2023,8.104166667
5/29/2023,8.4625
5/30/2023,8.479166667
5/31/2023,8.033333333
6/1/2023,6.133333333
6/2/2023,6.4125
6/3/2023,6.7375
6/4/2023,6.8375
6/5/2023,7.0875
6/6/2023,6.845833333
6/7/2023,7.191666667
6/8/2023,7.858333333
6/9/2023,7.808333333
6/10/2023,7.916666667
6/11/2023,8.004166667
6/12/2023,7.979166667
6/13/2023,7.691666667
6/14/2023,7.416666667
6/15/2023,7.9625
6/16/2023,7.991666667
6/17/2023,8.166666667
6/18/2023,8.266666667
6/19/2023,8.133333333
6/20/2023,7.783333333
6/21/2023,7.720833333
6/22/2023,8.208333333
6/23/2023,8.316666667
6/24/2023,8.033333333
6/25/2023,8.233333333
6/26/2023,8.2375
6/27/2023,8.354166667
6/28/2023,8.104166667
6/29/2023,8.4625
6/30/2023,8.479166667
7/1/2023,6.133333333
7/2/2023,6.4125
7/3/2023,6.7375
7/4/2023,6.8375
7/5/2023,7.0875
7/6/2023,6.845833333
7/7/2023,7.191666667
7/8/2023,7.858333333
7/9/2023,7.808333333
7/10/2023,7.916666667
7/11/2023,8.004166667
7/12/2023,7.979166667
7/13/2023,7.691666667
7/14/2023,7.416666667
7/15/2023,7.9625
7/16/2023,7.991666667
7/17/2023,8.166666667
7/18/2023,8.266666667
7/19/2023,8.133333333
7/20/2023,7.783333333
7/21/2023,7.720833333
7/22/2023,8.208333333
7/23/2023,8.316666667
7/24/2023,8.033333333
7/25/2023,8.233333333
7/26/2023,8.2375
7/27/2023,8.354166667
7/28/2023,8.104166667
7/29/2023,8.4625
7/30/2023,8.479166667
7/31/2023,6.841666667
8/1/2023,6.675
8/2/2023,6.579166667
8/3/2023,6.504166667
8/4/2023,6.770833333
8/5/2023,6.8375
8/6/2023,6.866666667
8/7/2023,6.841666667
8/8/2023,6.666666667
8/9/2023,6.541666667
8/10/2023,6.566666667
8/11/2023,7.041666667
8/12/2023,6.9875
8/13/2023,7.179166667
8/14/2023,6.841666667
8/15/2023,6.970833333
8/16/2023,6.766666667
8/17/2023,6.691666667
8/18/2023,6.925
8/19/2023,6.745833333
8/20/2023,6.7125
8/21/2023,6.595833333
8/22/2023,6.466666667
8/23/2023,6.179166667
8/24/2023,6.066666667
8/25/2023,6.208333333
8/26/2023,6.1
8/27/2023,6.2125
8/28/2023,6.25
8/29/2023,6.116666667
8/30/2023,6.1125
8/31/2023,6.008333333
9/1/2023,6.133333333
9/2/2023,6.4125
9/3/2023,6.7375
9/4/2023,6.8375
9/5/2023,7.0875
9/6/2023,6.845833333
9/7/2023,7.191666667
9/8/2023,7.858333333
9/9/2023,7.808333333
9/10/2023,7.916666667
9/11/2023,8.004166667
9/12/2023,7.979166667
9/13/2023,7.691666667
9/14/2023,7.416666667
9/15/2023,7.9625
9/16/2023,7.991666667
9/17/2023,8.166666667
9/18/2023,8.266666667
9/19/2023,8.133333333
9/20/2023,7.783333333
9/21/2023,7.720833333
9/22/2023,8.208333333
9/23/2023,8.316666667
9/24/2023,8.033333333
9/25/2023,8.233333333
9/26/2023,8.2375
9/27/2023,8.354166667
9/28/2023,8.104166667
9/29/2023,8.4625
9/30/2023,8.479166667
10/1/2023,6.133333333
10/2/2023,6.4125
10/3/2023,6.7375
10/4/2023,6.8375
10/5/2023,7.0875
10/6/2023,6.845833333
10/7/2023,7.191666667
10/8/2023,7.858333333
10/9/2023,7.808333333
10/10/2023,7.916666667
10/11/2023,8.004166667
10/12/2023,7.979166667
10/13/2023,7.691666667
10/14/2023,7.416666667
10/15/2023,7.9625
10/16/2023,7.991666667
10/17/2023,8.166666667
10/18/2023,8.266666667
10/19/2023,8.133333333
10/20/2023,7.783333333
10/21/2023,7.720833333
10/22/2023,8.208333333
10/23/2023,8.316666667
10/24/2023,8.033333333
10/25/2023,8.233333333
10/26/2023,8.2375
10/27/2023,8.354166667
10/28/2023,8.104166667
10/29/2023,8.4625
10/30/2023,8.479166667
10/31/2023,8.05
11/1/2023,6.133333333
11/2/2023,6.4125
11/3/2023,6.7375
11/4/2023,6.8375
11/5/2023,7.0875
11/6/2023,6.845833333
11/7/2023,7.191666667
11/8/2023,7.858333333
11/9/2023,7.808333333
11/10/2023,7.916666667
11/11/2023,8.004166667
11/12/2023,7.979166667
11/13/2023,7.691666667
11/14/2023,7.416666667
11/15/2023,7.9625
11/16/2023,7.991666667
11/17/2023,8.166666667
11/18/2023,8.266666667
11/19/2023,8.133333333
11/20/2023,7.783333333
11/21/2023,7.720833333
11/22/2023,8.208333333
11/23/2023,8.316666667
11/24/2023,8.033333333
11/25/2023,8.233333333
11/26/2023,8.2375
11/27/2023,8.354166667
11/28/2023,8.104166667
11/29/2023,8.4625
11/30/2023,8.233333333
12/1/2023,6.675
12/2/2023,6.579166667
12/3/2023,6.504166667
12/4/2023,6.770833333
12/5/2023,6.8375
12/6/2023,6.866666667
12/7/2023,6.841666667
12/8/2023,6.666666667
12/9/2023,6.541666667
